prolificId,type,measure,value
5f5bc70414f72236d0612d7a,feedback,How helpful is the “individual selection” of points feature?,4
5f5bc70414f72236d0612d7a,feedback,How helpful is the rectangle selection feature?,4
5f5bc70414f72236d0612d7a,feedback,How helpful is the paintbrush feature?,5
5f5bc70414f72236d0612d7a,feedback,How easy was the prediction interface to use?,2
5f5bc70414f72236d0612d7a,feedback,How accurate did you find the predictions?,1
5f5bc70414f72236d0612d7a,feedback,How helpful did you find the predictions?,1
5f5bc70414f72236d0612d7a,feedback,Do you prefer user-driven or computer supported selections?,4
5f5bc70414f72236d0612d7a,feedback,How experienced are you with scatterplots?,2
5f5bc70414f72236d0612d7a,feedback,How experienced are you with statistics?,3
5f5bc70414f72236d0612d7a,demographics,birthCountry,Mexico
5f5bc70414f72236d0612d7a,demographics,employment,Unemployed (and job seeking)
5f5bc70414f72236d0612d7a,demographics,nationality,Mexico
5f5bc70414f72236d0612d7a,demographics,sex,Male
5f5bc70414f72236d0612d7a,demographics,student,No
5f5bc70414f72236d0612d7a,results,averageAccuracy,0.4688213618780846
5ecc4a93243b34435985b392,feedback,How helpful is the “individual selection” of points feature?,2
5ecc4a93243b34435985b392,feedback,How helpful is the rectangle selection feature?,1
5ecc4a93243b34435985b392,feedback,How helpful is the paintbrush feature?,5
5ecc4a93243b34435985b392,feedback,How easy was the prediction interface to use?,5
5ecc4a93243b34435985b392,feedback,How accurate did you find the predictions?,3
5ecc4a93243b34435985b392,feedback,How helpful did you find the predictions?,1
5ecc4a93243b34435985b392,feedback,Do you prefer user-driven or computer supported selections?,3
5ecc4a93243b34435985b392,feedback,How experienced are you with scatterplots?,3
5ecc4a93243b34435985b392,feedback,How experienced are you with statistics?,4
5ecc4a93243b34435985b392,demographics,birthCountry,Mexico
5ecc4a93243b34435985b392,demographics,employment,Full-Time
5ecc4a93243b34435985b392,demographics,nationality,Mexico
5ecc4a93243b34435985b392,demographics,sex,Male
5ecc4a93243b34435985b392,demographics,student,No
5ecc4a93243b34435985b392,results,averageAccuracy,0.8543237294917968
5f256074297aac1d8ef7382d,feedback,How helpful is the “individual selection” of points feature?,2
5f256074297aac1d8ef7382d,feedback,How helpful is the rectangle selection feature?,2
5f256074297aac1d8ef7382d,feedback,How helpful is the paintbrush feature?,5
5f256074297aac1d8ef7382d,feedback,How easy was the prediction interface to use?,5
5f256074297aac1d8ef7382d,feedback,How accurate did you find the predictions?,5
5f256074297aac1d8ef7382d,feedback,How helpful did you find the predictions?,5
5f256074297aac1d8ef7382d,feedback,Do you prefer user-driven or computer supported selections?,5
5f256074297aac1d8ef7382d,feedback,How experienced are you with scatterplots?,2
5f256074297aac1d8ef7382d,feedback,How experienced are you with statistics?,4
5f256074297aac1d8ef7382d,demographics,birthCountry,Hungary
5f256074297aac1d8ef7382d,demographics,employment,Unemployed (and job seeking)
5f256074297aac1d8ef7382d,demographics,nationality,Hungary
5f256074297aac1d8ef7382d,demographics,sex,Male
5f256074297aac1d8ef7382d,demographics,student,No
5f256074297aac1d8ef7382d,results,averageAccuracy,0.8448276233570351
5dd6f1d7c5faa268624c5037,feedback,How helpful is the “individual selection” of points feature?,3
5dd6f1d7c5faa268624c5037,feedback,How helpful is the rectangle selection feature?,4
5dd6f1d7c5faa268624c5037,feedback,How helpful is the paintbrush feature?,5
5dd6f1d7c5faa268624c5037,feedback,How easy was the prediction interface to use?,5
5dd6f1d7c5faa268624c5037,feedback,How accurate did you find the predictions?,4
5dd6f1d7c5faa268624c5037,feedback,How helpful did you find the predictions?,4
5dd6f1d7c5faa268624c5037,feedback,Do you prefer user-driven or computer supported selections?,4
5dd6f1d7c5faa268624c5037,feedback,How experienced are you with scatterplots?,1
5dd6f1d7c5faa268624c5037,feedback,How experienced are you with statistics?,1
5dd6f1d7c5faa268624c5037,demographics,birthCountry,Portugal
5dd6f1d7c5faa268624c5037,demographics,employment,Other
5dd6f1d7c5faa268624c5037,demographics,nationality,Portugal
5dd6f1d7c5faa268624c5037,demographics,sex,Male
5dd6f1d7c5faa268624c5037,demographics,student,Yes
5dd6f1d7c5faa268624c5037,results,averageAccuracy,0.8690356270713414
5a4a8802817d1800018d2549,feedback,How helpful is the “individual selection” of points feature?,5
5a4a8802817d1800018d2549,feedback,How helpful is the rectangle selection feature?,3
5a4a8802817d1800018d2549,feedback,How helpful is the paintbrush feature?,5
5a4a8802817d1800018d2549,feedback,How easy was the prediction interface to use?,4
5a4a8802817d1800018d2549,feedback,How accurate did you find the predictions?,5
5a4a8802817d1800018d2549,feedback,How helpful did you find the predictions?,4
5a4a8802817d1800018d2549,feedback,Do you prefer user-driven or computer supported selections?,1
5a4a8802817d1800018d2549,feedback,How experienced are you with scatterplots?,2
5a4a8802817d1800018d2549,feedback,How experienced are you with statistics?,2
5a4a8802817d1800018d2549,demographics,birthCountry,United Kingdom
5a4a8802817d1800018d2549,demographics,employment,Unemployed (and job seeking)
5a4a8802817d1800018d2549,demographics,nationality,United Kingdom
5a4a8802817d1800018d2549,demographics,sex,Female
5a4a8802817d1800018d2549,demographics,student,No
5a4a8802817d1800018d2549,results,averageAccuracy,0.592168979924082
5f567ed454a3b50b805354db,feedback,How helpful is the “individual selection” of points feature?,2
5f567ed454a3b50b805354db,feedback,How helpful is the rectangle selection feature?,4
5f567ed454a3b50b805354db,feedback,How helpful is the paintbrush feature?,3
5f567ed454a3b50b805354db,feedback,How easy was the prediction interface to use?,4
